target_name,target_pdb,description,method,substances,clustered
KIT,3g0e,Stem cell growth factor receptor,By Hand,378,166
KITH,2b8t,Thymidine kinase,Auto,57,57
KPCB,2i0e,Protein kinase C beta,By Hand,331,135
LCK,2of2,Tyrosine-protein kinase LCK,Auto,916,420
LKHA4,3chp,Leukotriene A4 hydrolase,By Hand,343,171
MAPK2,3m2w,MAP kinase-activated protein kinase 2,By Hand,184,101
MCR,2aa2,Mineralocorticoid receptor,Auto,201,94
MET,3lq8,Hepatocyte growth factor receptor,Auto,333,166
MK01,2ojg,MAP kinase ERK2,Auto,79,79
MK10,2zdt,c-Jun N-terminal kinase 3,Auto,199,104
MK14,2qd9,MAP kinase p38 alpha,Auto,2205,578
MMP13,830c,Matrix metalloproteinase 13,Auto,1632,572
MP2K1,3eqh,Dual specificity mitogen-activated protein kinase kinase 1,By Hand,308,121
NOS1,1qw6,"Nitric-oxide synthase, brain",By Hand,311,100
NRAM,1b9v,Neuraminidase,Auto,200,98
PA2GA,1kvo,Phospholipase A2 group IIA,By Hand,173,99
PARP1,3l3m,Poly [ADP-ribose] polymerase-1,By Hand,1031,508
PDE5A,1udt,Phosphodiesterase 5A,By Hand,958,398
PGH1,2oyu,Cyclooxygenase-1,By Hand,534,195
PGH2,3ln1,Cyclooxygenase-2,By Hand,1707,435
PLK1,2owb,Serine/threonine-protein kinase PLK1,By Hand,227,107
PNPH,3bgs,Purine nucleoside phosphorylase,Auto,225,103
PPARA,2p54,Peroxisome proliferator-activated receptor alpha,Auto,1040,373
PPARD,2znp,Peroxisome proliferator-activated receptor delta,Auto,699,240
PPARG,2gtk,Peroxisome proliferator-activated receptor gamma,By Hand,1245,484
PRGR,3kba,Progesterone receptor,Auto,1114,293
PTN1,2azr,Protein-tyrosine phosphatase 1B,Auto,264,130
PUR2,1njs,GAR transformylase,Auto,50,50
PYGM,1c8k,Muscle glycogen phosphorylase,By Hand,77,77
PYRD,1d3g,Dihydroorotate dehydrogenase,Auto,226,111
RENI,3g6z,Renin,Auto,391,104
ROCK1,2etr,Rho-associated protein kinase 1,Auto,216,100
RXRA,1mv9,Retinoid X receptor alpha,Auto,298,131
SAHH,1li4,Adenosylhomocysteinase,Auto,63,63
SRC,3el8,Tyrosine-protein kinase SRC,By Hand,1269,524
TGFR1,3hmm,TGF-beta receptor type I,Auto,235,133
THB,1q4x,Thyroid hormone receptor beta-1,Auto,246,103
THRB,1ype,Thrombin,By Hand,2109,461
TRY1,2ayw,Trypsin I,Auto,924,449
TRYB1,2zec,Tryptase beta-1,Auto,216,148
TYSY,1syn,Thymidylate synthase,By Hand,390,109
UROK,1sqt,Urokinase-type plasminogen activator,Auto,372,162
VGFR2,2p2i,Vascular endothelial growth factor receptor 2,Auto,2320,409
WEE1,3biz,Serine/threonine-protein kinase WEE1,Auto,221,102
XIAP,3hl5,Inhibitor of apoptosis protein 3,By Hand,100,100
